year,type_of_violence,conflict_name,dyad_name,side_a,side_b,latitude,longitude,best
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1264,45.3282,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.0964,46.3769,6
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.0975,45.468,10
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.0318,45.2623,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.0318,45.2623,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1999,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.8496,47.6269,13
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,6
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,5
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1627,45.201,0
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,3
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1373,45.123,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,7
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,4
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,23
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1627,45.201,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,18
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3222,45.9952,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,30
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,5
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1872,45.2864,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,4
1996,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.1609,45.6213,0
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,10
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.9595,46.1134,0
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3519,46.1035,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,6
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2386,45.1714,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,5
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,25
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1996,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.318,45.6982,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.872,45.6873,2
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1627,45.201,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,12
1996,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.318,45.6982,15
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,44.7859,44.1464,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,7
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,58
1999,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.8496,47.6269,237
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,42.6185,47.2582,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1627,45.201,8
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,50
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.2621,45.4208,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,5
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.318,45.6982,0
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.318,45.6982,37
1999,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.01,45.7057,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1999,1,Russia (Soviet Union):Dagestan,Government of Russia (Soviet Union) - Wahhabi movement of the Buinaksk district,Government of Russia (Soviet Union),Wahhabi movement of the Buinaksk district,42.6203,47.2884,60
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,24
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.318,45.6982,15
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.318,45.6982,14
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,6
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.0975,45.468,2
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1999,1,Russia (Soviet Union):Dagestan,Government of Russia (Soviet Union) - Wahhabi movement of the Buinaksk district,Government of Russia (Soviet Union),Wahhabi movement of the Buinaksk district,42.8496,47.6269,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.123,45.7415,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.8496,47.6269,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,6
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.3512,44.0857,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,45.0445,41.9691,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.5028,45.8855,4
1999,1,Russia (Soviet Union):Dagestan,Government of Russia (Soviet Union) - Wahhabi movement of the Buinaksk district,Government of Russia (Soviet Union),Wahhabi movement of the Buinaksk district,42.8496,47.6269,6
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.2274,45.3874,0
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.9595,46.1134,17
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,37
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.4894,45.7736,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,9
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.4052,44.8203,3
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.0961,45.4065,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1996,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.3058,45.7477,24
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.872,45.6873,5
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1373,45.123,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.202,46.0879,5
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.202,46.0879,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.3058,45.7477,12
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,3
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,37
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.3058,45.7477,25
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.4052,44.8203,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,35
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,6
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,40
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1995,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.1872,45.2864,7
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.9526,46.0671,2
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,43.3058,45.7477,70
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,4
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,3
1999,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,42.8496,47.6269,11
1999,3,Chechen Republic of Ichkeria - Civilians,Chechen Republic of Ichkeria - Civilians,Chechen Republic of Ichkeria,Civilians,43.3058,45.7477,32
1999,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.4052,44.8203,20
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3519,46.1035,5
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2503,45.9085,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,38
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2911,45.3014,11
